id,título,año,url_imagen,thumbnail,descripción_gal,descripción_esp,descripción_en
1,b s b,2024,images/branco_sobre_branco.webp,images/branco_sobre_branco_thumbnail.png,,,
2,masa para empanada,2024,images/masa_para_empanada.webp,,,,
3,moas do xuizo,2025,images/moas_do_xuizo.webp,,,,
4,´* ˙ ˚ ° ˚,2024,images/=.webp,,,,
5,xesto materia,2024,images/xesto_materia.webp,,,,
6,acción de prensión,2024,images/accion_de_prension.webp,,,,
7,c/ Ana Gesto,2022,images/c_ana_gesto.webp,,,,
8,desvelado de imaxe,2022,images/desvelar_a_imaxe.webp,,,,
9,acción - inacción,2022,images/accion_inaccion.webp,,,,
10,velados,2025,images/velados.webp,,,,
11,tempo do obxecto,2024,images/percorrido_do_obxecto.webp,,,,
12,abrir o oco,2024,images/accion_inaccion_abrir_o_oco.webp,,,,
13,.,2024,images/I.webp,,,,
14,montanha de cemento,2024,images/montanha_de_cemento.webp,,,,
15,p,2024,images/p.webp,,,,
16,vrlux,2024,images/vrlux.webp,,,,
17,instalacions,2023,images/instalacions.webp,,,,
18,estudi p,2024,images/estudi_p.webp,,,,
19,Pel de mimbre sobre pel,2023,images/v.webp,,,,
20,enfrontar o corpo,2023,images/enfrontar_o_corpo.webp,,,,
21,modos de non ver,2022,images/modos_de_non_ver.webp,,,,
22,a,2022,images/pes.webp,,,,
23,non ver,2023,images/non_ver.webp,,,,
24,f,2023,images/f.webp,,,,
25,Lorem ipsum,2023,images/lorem_ipsum.webp,,,,
26,ciclo de accions / Dialeg Obert e PAErsche,2023,images/clo_de_accions_c_dialeg_oebert_e_paersche.webp,,,,
27,xersei de catro brazos e duas cabezas c/Marta Fialho,2021,images/ersei_de_4_brazos_e_2_cabezas_c_marta_fialho.webp,,,,
28,Line Up Action Coimbra,2023,images/coimbra_line_up_action.webp,,,,
29,m,2022,images/m.webp,,,,
30,mascara de xeo,2022,images/mascara_de_xeo.webp,,,,
31,___,2022,images/___.webp,,,,
32,,2022,images/placeholder.webp,,,,
33,contacto c/ Taro,2023,images/con_tacto.webp,,,,
34,unidade de medida,2023,images/unidade_de_medida.webp,,,,
35,Pel de mimbre sobre pel,2022,images/pel_de_mimbre_sobre_pel.webp,,,,
36,com posturas,2017,images/com_posturas.webp,,,,
37,.,2015,images/placeholder.webp,,,,
38,1/2 baleiro,2020,images/medio_baleiro.webp,,,,
39,a,2022,images/a.webp,,,,