id,year,image_url,description_gal,description_esp,description_en
obra1,2024,images/branco_sobre_branco.webp,Descrición da obra b s b en galego. Obra escultórica que explora a relación entre o branco e o espazo.,Descripción de la obra b s b en español. Obra escultórica que explora la relación entre el blanco y el espacio.,Work description b s b in English. Sculptural work that explores the relationship between white and space.
obra2,2024,images/masa_para_empanada.webp,Descrición da obra masa para empanada en galego. Instalación que cuestiona os límites entre arte e cociña.,Descripción de la obra masa para empanada en español. Instalación que cuestiona los límites entre arte y cocina.,Work description empanada dough in English. Installation that questions the boundaries between art and cooking.
obra3,2025,images/moas_do_xuizo.webp,Descrición da obra moas do xuizo en galego. Performance que explora a xustiza e os seus restos.,Descripción de la obra moas do xuizo en español. Performance que explora la justicia y sus restos.,Work description judge's crumbs in English. Performance that explores justice and its remains.
obra4,2024,images/=.webp,Descrición da obra ´* ˙ ˚ ° ˚ en galego. Obra conceptual sobre a notación musical e visual.,Descripción de la obra ´* ˙ ˚ ° ˚ en español. Obra conceptual sobre la notación musical y visual.,Work description ´* ˙ ˚ ° ˚ in English. Conceptual work about musical and visual notation.
obra5,2024,images/xesto_materia.webp,Descrición da obra xesto materia en galego. Escultura que materializa o movemento e o xesto.,Descripción de la obra xesto materia en español. Escultura que materializa el movimiento y el gesto.,Work description gesture matter in English. Sculpture that materializes movement and gesture.
obra6,2024,images/accion_de_prension.webp,Descrición da obra acción de prensión en galego. Performance sobre o acto de agarrar e soltar.,Descripción de la obra acción de prensión en español. Performance sobre el acto de agarrar y soltar.,Work description grasping action in English. Performance about the act of grasping and releasing.
obra7,2022,images/c_ana_gesto.webp,Descrición da obra c/ Ana Gesto en galego. Colaboración artística con Ana Gesto.,Descripción de la obra c/ Ana Gesto en español. Colaboración artística con Ana Gesto.,Work description with Ana Gesto in English. Artistic collaboration with Ana Gesto.
obra8,2022,images/desvelar_a_imaxe.webp,Descrición da obra desvelado de imaxe en galego. Proceso de revelación visual.,Descripción de la obra desvelado de imaxe en español. Proceso de revelación visual.,Work description image unveiling in English. Process of visual revelation.
obra9,2022,images/accion_inaccion.webp,Descrición da obra acción - inacción en galego. Performance sobre a dualidade do movemento.,Descripción de la obra acción - inacción en español. Performance sobre la dualidad del movimiento.,Work description action - inaction in English. Performance about the duality of movement.
obra10,2025,images/velados.webp,Descrición da obra velados en galego. Serie sobre o ocultamento e a revelación.,Descripción de la obra velados en español. Serie sobre el ocultamiento y la revelación.,Work description veiled in English. Series about concealment and revelation.
obra11,2024,images/percorrido_do_obxecto.webp,Descrición da obra tempo do obxecto en galego. Instalación sobre a temporalidade dos obxectos.,Descripción de la obra tempo do obxecto en español. Instalación sobre la temporalidad de los objetos.,Work description object time in English. Installation about the temporality of objects.
obra12,2024,images/accion_inaccion_abrir_o_oco.webp,Descrición da obra abrir o oco en galego. Performance sobre a abertura e o espazo.,Descripción de la obra abrir o oco en español. Performance sobre la apertura y el espacio.,Work description open the gap in English. Performance about opening and space.
obra13,2022,images/non_ver.webp,Descrición da obra non ver en galego. Serie sobre a cegueira e a percepción.,Descripción de la obra non ver en español. Serie sobre la ceguera y la percepción.,Work description not seeing in English. Series about blindness and perception.
obra14,2022,images/modos_de_non_ver.webp,Descrición da obra modos de non ver en galego. Investigación sobre a invisibilidade.,Descripción de la obra modos de non ver en español. Investigación sobre la invisibilidad.,Work description ways of not seeing in English. Investigation about invisibility.
obra15,2022,images/enfrontar_o_corpo.webp,Descrición da obra enfront o corpo en galego. Performance sobre a corporalidade.,Descripción de la obra enfront o cuerpo en español. Performance sobre la corporalidad.,Work description confronting the body in English. Performance about corporeality.
obra16,2022,images/clo_de_accions_c_dialeg_oebert_e_paersche.webp,Descrición da obra clo de accións en galego. Serie de performances en colaboración.,Descripción de la obra clo de accións en español. Serie de performances en colaboración.,Work description action cycle in English. Series of collaborative performances.
obra17,2022,images/ersei_de_4_brazos_e_2_cabezas_c_marta_fialho.webp,Descrición da obra ersei de 4 brazos e 2 cabezas en galego. Colaboración con Marta Fialho.,Descripción de la obra ersei de 4 brazos e 2 cabezas en español. Colaboración con Marta Fialho.,Work description sketch of 4 arms and 2 heads in English. Collaboration with Marta Fialho.
obra18,2022,images/coimbra_line_up_action.webp,Descrición da obra coimbra line up action en galego. Performance en Coimbra.,Descripción de la obra coimbra line up action en español. Performance en Coimbra.,Work description coimbra line up action in English. Performance in Coimbra.
obra19,2022,images/instalacions.webp,Descrición da obra instalacions en galego. Serie de instalacións site-specific.,Descripción de la obra instalacions en español. Serie de instalaciones site-specific.,Work description installations in English. Series of site-specific installations.
obra20,2022,images/estudi_p.webp,Descrición da obra estudi p en galego. Estudo sobre o proceso creativo.,Descripción de la obra estudi p en español. Estudio sobre el proceso creativo.,Work description study p in English. Study about the creative process.
obra21,2022,images/f.webp,Descrición da obra f en galego. Obra minimalista sobre a forma.,Descripción de la obra f en español. Obra minimalista sobre la forma.,Work description f in English. Minimalist work about form.
obra22,2022,images/p.webp,Descrición da obra p en galego. Obra conceptual sobre a letra p.,Descripción de la obra p en español. Obra conceptual sobre la letra p.,Work description p in English. Conceptual work about the letter p.
obra23,2022,images/pegada_p.webp,Descrición da obra pegada p en galego. Obra sobre a pegada e a memoria.,Descripción de la obra pegada p en español. Obra sobre la huella y la memoria.,Work description footprint p in English. Work about footprint and memory.
obra24,2022,images/pes.webp,Descrición da obra pes en galego. Serie sobre os pés e o movemento.,Descripción de la obra pes en español. Serie sobre los pies y el movimiento.,Work description feet in English. Series about feet and movement.
obra25,2022,images/v.webp,Descrición da obra v en galego. Obra minimalista sobre a letra v.,Descripción de la obra v en español. Obra minimalista sobre la letra v.,Work description v in English. Minimalist work about the letter v.
obra26,2022,images/vrlux.webp,Descrición da obra vrlux en galego. Obra sobre a luz e a percepción.,Descripción de la obra vrlux en español. Obra sobre la luz y la percepción.,Work description vrlux in English. Work about light and perception.
obra27,2022,images/montanha_de_cemento.webp,Descrición da obra montanha de cemento en galego. Instalación sobre a construción e destrución.,Descripción de la obra montanha de cemento en español. Instalación sobre la construcción y destrucción.,Work description cement mountain in English. Installation about construction and destruction.
obra28,2022,images/m.webp,Descrición da obra m en galego. Obra minimalista sobre a letra m.,Descripción de la obra m en español. Obra minimalista sobre la letra m.,Work description m in English. Minimalist work about the letter m.
obra29,2022,images/mascara_de_xeo.webp,Descrición da obra mascara de xeo en galego. Escultura sobre a transformación e o tempo.,Descripción de la obra mascara de xeo en español. Escultura sobre la transformación y el tiempo.,Work description ice mask in English. Sculpture about transformation and time.
obra30,2022,images/___.webp,Descrición da obra ___ en galego. Obra conceptual sobre o silencio.,Descripción de la obra ___ en español. Obra conceptual sobre el silencio.,Work description ___ in English. Conceptual work about silence.
obra31,2023,images/con_tacto.webp,Descrición da obra con,tacto c/ Taro en galego. Colaboración con Taro sobre o tacto.,Descripción de la obra con,tacto c/ Taro en español. Colaboración con Taro sobre el tacto.,Work description with,touch with Taro in English. Collaboration with Taro about touch.
obra32,2023,images/unidade_de_medida.webp,Descrición da obra unidade de medida en galego. Obra sobre a medición e a escala.,Descripción de la obra unidade de medida en español. Obra sobre la medición y la escala.,Work description unit of measurement in English. Work about measurement and scale.
obra33,2022,images/pel_de_mimbre_sobre_pel.webp,Descrición da obra Pel de mimbre sobre pel en galego. Escultura sobre a textura e o material.,Descripción de la obra Pel de mimbre sobre pel en español. Escultura sobre la textura y el material.,Work description wicker skin on skin in English. Sculpture about texture and material.
obra34,2017,images/com_posturas.webp,Descrición da obra com,posturas en galego. Serie sobre as posturas corporais.,Descripción de la obra com,posturas en español. Serie sobre las posturas corporales.,Work description with,postures in English. Series about body postures.
obra35,2015,images/obra37_placeholder.webp,Descrición da obra . en galego. Obra minimalista sobre o punto.,Descripción de la obra . en español. Obra minimalista sobre el punto.,Work description . in English. Minimalist work about the dot.
obra36,2020,images/medio_baleiro.webp,Descrición da obra 1/2 baleiro en galego. Obra sobre a ausencia e a presenza.,Descripción de la obra 1/2 baleiro en español. Obra sobre la ausencia y la presencia.,Work description 1/2 empty in English. Work about absence and presence.
obra37,2022,images/a.webp,Descrición da obra a en galego. Obra minimalista sobre a letra a.,Descripción de la obra a en español. Obra minimalista sobre la letra a.,Work description a in English. Minimalist work about the letter a.
obra38,2022,images/veran.webp,Descrición da obra veran en galego. Serie sobre o verán e a temporalidade.,Descripción de la obra veran en español. Serie sobre el verano y la temporalidad.,Work description summer in English. Series about summer and temporality.
obra39,2022,images/perfo duracional lingua-1.webp,Descrición da obra perfo duracional lingua en galego. Performance sobre a lingua e o tempo.,Descripción de la obra perfo duracional lingua en español. Performance sobre la lengua y el tiempo.,Work description durational performance language in English. Performance about language and time. 