id,title_gal,title_esp,title_en,year,image_url,description_gal,description_esp
obra1,b s b,b s b,b s b,2024,images/branco_sobre_branco.webp,Descrición da obra b s b en galego. Obra escultórica que explora a relación entre o branco e o espazo.,Descripción de la obra b s b en español. Obra escultórica que explora la relación entre el blanco y el espacio.
obra2,masa para empanada,masa para empanada,empanada dough,2024,images/masa_para_empanada.webp,Descrición da obra masa para empanada en galego. Instalación que cuestiona os límites entre arte e cociña.,Descripción de la obra masa para empanada en español. Instalación que cuestiona los límites entre arte y cocina.
obra3,moas do xuizo,moas do xuizo,judge's crumbs,2025,images/moas_do_xuizo.webp,Descrición da obra moas do xuizo en galego. Performance que explora a xustiza e os seus restos.,Descripción de la obra moas do xuizo en español. Performance que explora la justicia y sus restos.
obra4,´* ˙ ˚ ° ˚,´* ˙ ˚ ° ˚,´* ˙ ˚ ° ˚,2024,images/=.webp,Descrición da obra ´* ˙ ˚ ° ˚ en galego. Obra conceptual sobre a notación musical e visual.,Descripción de la obra ´* ˙ ˚ ° ˚ en español. Obra conceptual sobre la notación musical y visual.
obra5,xesto materia,xesto materia,gesture matter,2024,images/xesto_materia.webp,Descrición da obra xesto materia en galego. Escultura que materializa o movemento e o xesto.,Descripción de la obra xesto materia en español. Escultura que materializa el movimiento y el gesto.
obra6,acción de prensión,acción de prensión,grasping action,2024,images/accion_de_prension.webp,Descrición da obra acción de prensión en galego. Performance sobre o acto de agarrar e soltar.,Descripción de la obra acción de prensión en español. Performance sobre el acto de agarrar y soltar.
obra7,c/ Ana Gesto,c/ Ana Gesto,with Ana Gesto,2022,images/c_ana_gesto.webp,Descrición da obra c/ Ana Gesto en galego. Colaboración artística con Ana Gesto.,Descripción de la obra c/ Ana Gesto en español. Colaboración artística con Ana Gesto.
obra8,desvelado de imaxe,desvelado de imaxe,image unveiling,2022,images/desvelar_a_imaxe.webp,Descrición da obra desvelado de imaxe en galego. Proceso de revelación visual.,Descripción de la obra desvelado de imaxe en español. Proceso de revelación visual.
obra9,acción - inacción,acción - inacción,action - inaction,2022,images/accion_inaccion.webp,Descrición da obra acción - inacción en galego. Performance sobre a dualidade do movemento.,Descripción de la obra acción - inacción en español. Performance sobre la dualidad del movimiento.
obra10,velados,velados,veiled,2025,images/velados.webp,Descrición da obra velados en galego. Serie sobre o ocultamento e a revelación.,Descripción de la obra velados en español. Serie sobre el ocultamiento y la revelación.
obra11,tempo do obxecto,tempo do obxecto,object time,2024,images/percorrido_do_obxecto.webp,Descrición da obra tempo do obxecto en galego. Instalación sobre a temporalidade dos obxectos.,Descripción de la obra tempo do obxecto en español. Instalación sobre la temporalidad de los objetos.
obra12,abrir o oco,abrir o oco,open the gap,2024,images/accion_inaccion_abrir_o_oco.webp,Descrición da obra abrir o oco en galego. Performance sobre a abertura e o espazo.,Descripción de la obra abrir o oco en español. Performance sobre la apertura y el espacio.
obra13,non ver,non ver,not seeing,2022,images/non_ver.webp,Descrición da obra non ver en galego. Serie sobre a cegueira e a percepción.,Descripción de la obra non ver en español. Serie sobre la ceguera y la percepción.
obra14,modos de non ver,modos de non ver,ways of not seeing,2022,images/modos_de_non_ver.webp,Descrición da obra modos de non ver en galego. Investigación sobre a invisibilidade.,Descripción de la obra modos de non ver en español. Investigación sobre la invisibilidad.
obra15,enfrontar o corpo,enfrontar o corpo,confronting the body,2022,images/enfrontar_o_corpo.webp,Descrición da obra enfront o corpo en galego. Performance sobre a corporalidade.,Descripción de la obra enfront o cuerpo en español. Performance sobre la corporalidad.
obra16,clo de accións,clo de accións,action cycle,2022,images/clo_de_accions_c_dialeg_oebert_e_paersche.webp,Descrición da obra clo de accións en galego. Serie de performances en colaboración.,Descripción de la obra clo de accións en español. Serie de performances en colaboración.
obra17,ersei de 4 brazos e 2 cabezas,ersei de 4 brazos e 2 cabezas,sketch of 4 arms and 2 heads,2022,images/ersei_de_4_brazos_e_2_cabezas_c_marta_fialho.webp,Descrición da obra ersei de 4 brazos e 2 cabezas en galego. Colaboración con Marta Fialho.,Descripción de la obra ersei de 4 brazos e 2 cabezas en español. Colaboración con Marta Fialho.
obra18,coimbra line up action,coimbra line up action,coimbra line up action,2022,images/coimbra_line_up_action.webp,Descrición da obra coimbra line up action en galego. Performance en Coimbra.,Descripción de la obra coimbra line up action en español. Performance en Coimbra.
obra19,instalacions,instalacions,installations,2022,images/instalacions.webp,Descrición da obra instalacions en galego. Serie de instalacións site-specific.,Descripción de la obra instalacions en español. Serie de instalaciones site-specific.
obra20,estudi p,estudi p,study p,2022,images/estudi_p.webp,Descrición da obra estudi p en galego. Estudo sobre o proceso creativo.,Descripción de la obra estudi p en español. Estudio sobre el proceso creativo.
obra21,f,f,f,2022,images/f.webp,Descrición da obra f en galego. Obra minimalista sobre a forma.,Descripción de la obra f en español. Obra minimalista sobre la forma.
obra22,p,p,p,2022,images/p.webp,Descrición da obra p en galego. Obra conceptual sobre a letra p.,Descripción de la obra p en español. Obra conceptual sobre la letra p.
obra23,pegada p,pegada p,footprint p,2022,images/pegada_p.webp,Descrición da obra pegada p en galego. Obra sobre a pegada e a memoria.,Descripción de la obra pegada p en español. Obra sobre la huella y la memoria.
obra24,pes,pes,feet,2022,images/pes.webp,Descrición da obra pes en galego. Serie sobre os pés e o movemento.,Descripción de la obra pes en español. Serie sobre los pies y el movimiento.
obra25,v,v,v,2022,images/v.webp,Descrición da obra v en galego. Obra minimalista sobre a letra v.,Descripción de la obra v en español. Obra minimalista sobre la letra v.
obra26,vrlux,vrlux,vrlux,2022,images/vrlux.webp,Descrición da obra vrlux en galego. Obra sobre a luz e a percepción.,Descripción de la obra vrlux en español. Obra sobre la luz y la percepción.
obra27,montanha de cemento,montanha de cemento,cement mountain,2022,images/montanha_de_cemento.webp,Descrición da obra montanha de cemento en galego. Instalación sobre a construción e destrución.,Descripción de la obra montanha de cemento en español. Instalación sobre la construcción y destrucción.
obra28,m,m,m,2022,images/m.webp,Descrición da obra m en galego. Obra minimalista sobre a letra m.,Descripción de la obra m en español. Obra minimalista sobre la letra m.
obra29,mascara de xeo,mascara de xeo,ice mask,2022,images/mascara_de_xeo.webp,Descrición da obra mascara de xeo en galego. Escultura sobre a transformación e o tempo.,Descripción de la obra mascara de xeo en español. Escultura sobre la transformación y el tiempo.
obra30,___,___,___,2022,images/___.webp,Descrición da obra ___ en galego. Obra conceptual sobre o silencio.,Descripción de la obra ___ en español. Obra conceptual sobre el silencio.
obra31,con,tacto c/ Taro,con,tacto c/ Taro,con,tacto c/ Taro,2023
obra32,unidade de medida,unidade de medida,unit of measurement,2023,images/unidade_de_medida.webp,Descrición da obra unidade de medida en galego. Obra sobre a medición e a escala.,Descripción de la obra unidade de medida en español. Obra sobre la medición y la escala.
obra33,Pel de mimbre sobre pel,Pel de mimbre sobre pel,wicker skin on skin,2022,images/pel_de_mimbre_sobre_pel.webp,Descrición da obra Pel de mimbre sobre pel en galego. Escultura sobre a textura e o material.,Descripción de la obra Pel de mimbre sobre pel en español. Escultura sobre la textura y el material.
obra34,com,posturas,com,posturas,com,postures,2017
obra35,.,.,.,2015,images/obra37_placeholder.webp,Descrición da obra . en galego. Obra minimalista sobre o punto.,Descripción de la obra . en español. Obra minimalista sobre el punto.
obra36,1/2 baleiro,1/2 baleiro,1/2 empty,2020,images/medio_baleiro.webp,Descrición da obra 1/2 baleiro en galego. Obra sobre a ausencia e a presenza.,Descripción de la obra 1/2 baleiro en español. Obra sobre la ausencia y la presencia.
obra37,a,a,a,2022,images/a.webp,Descrición da obra a en galego. Obra minimalista sobre a letra a.,Descripción de la obra a en español. Obra minimalista sobre la letra a.
obra38,veran,veran,summer,2022,images/veran.webp,Descrición da obra veran en galego. Serie sobre o verán e a temporalidade.,Descripción de la obra veran en español. Serie sobre el verano y la temporalidad.
obra39,perfo duracional lingua,perfo duracional lingua,durational performance language,2022,images/perfo duracional lingua-1.webp,Descrición da obra perfo duracional lingua en galego. Performance sobre a lingua e o tempo.,Descripción de la obra perfo duracional lingua en español. Performance sobre la lengua y el tiempo.
